id_registro,destino,pais,regiao_continente,mes_recomendado,classificacao_temporada,clima_predominante,motivo_para_visitar,nivel_custo_estimado,perfil_ideal
1,Barcelona,Espanha,Europa,Outubro,Média Temporada,Frio,Temporada de neve,Baixo,Família
2,Fernando de Noronha,Brasil,Nordeste,Dezembro,Alta Temporada,Ameno,Menor fluxo de turistas,Alto,Grupo de Amigos
3,Santiago,Chile,América do Sul,Agosto,Média Temporada,Frio,Clima mais seco e agradável,Alto,Grupo de Amigos
4,Manaus,Brasil,Norte,Junho,Média Temporada,Ameno,Alta procura por férias escolares,Alto,Família
5,Bariloche,Argentina,América do Sul,Março,Média Temporada,Seco,Festival cultural importante,Baixo,Grupo de Amigos
6,Porto de Galinhas,Brasil,Nordeste,Agosto,Média Temporada,Chuvoso,Clima mais seco e agradável,Baixo,Mochileiro
7,São Paulo,Brasil,Sudeste,Abril,Baixa Temporada,Chuvoso,Menor fluxo de turistas,Baixo,Viajante Solo
8,Lençóis Maranhenses,Brasil,Nordeste,Outubro,Média Temporada,Ameno,Melhor época para praias,Médio,Família
9,Tóquio,Japão,Ásia,Março,Média Temporada,Ameno,Menor fluxo de turistas,Baixo,Grupo de Amigos
10,Salvador,Brasil,Nordeste,Fevereiro,Alta Temporada,Ensolarado,Temporada de neve,Médio,Viajante Solo
11,Orlando,EUA,América do Norte,Novembro,Baixa Temporada,Ensolarado,Temporada de neve,Médio,Grupo de Amigos
12,Nova York,EUA,América do Norte,Março,Média Temporada,Seco,Clima mais seco e agradável,Baixo,Casal
13,Gramado,Brasil,Sul,Maio,Baixa Temporada,Seco,Clima mais seco e agradável,Baixo,Mochileiro
14,Gramado,Brasil,Sul,Janeiro,Alta Temporada,Frio,Melhor custo-benefício,Alto,Grupo de Amigos
15,Jericoacoara,Brasil,Nordeste,Outubro,Média Temporada,Ameno,Melhor época para praias,Baixo,Casal
16,Roma,Itália,Europa,Março,Média Temporada,Ameno,Temporada de neve,Baixo,Grupo de Amigos
17,Cancún,México,América do Norte,Abril,Baixa Temporada,Chuvoso,Melhor época para praias,Médio,Família
18,Florianópolis,Brasil,Sul,Maio,Baixa Temporada,Ensolarado,Menor fluxo de turistas,Baixo,Mochileiro
19,Orlando,EUA,América do Norte,Junho,Média Temporada,Ameno,Clima mais seco e agradável,Médio,Mochileiro
20,Jericoacoara,Brasil,Nordeste,Janeiro,Alta Temporada,Chuvoso,Melhor custo-benefício,Médio,Viajante Solo
21,Cidade do Cabo,África do Sul,África,Novembro,Baixa Temporada,Frio,Melhor custo-benefício,Alto,Mochileiro
22,Tóquio,Japão,Ásia,Dezembro,Alta Temporada,Chuvoso,Temporada de neve,Alto,Família
23,Cancún,México,América do Norte,Fevereiro,Alta Temporada,Ameno,Clima mais seco e agradável,Médio,Casal
24,Bonito,Brasil,Centro-Oeste,Junho,Média Temporada,Ameno,Menor fluxo de turistas,Baixo,Mochileiro
25,Lisboa,Portugal,Europa,Julho,Alta Temporada,Seco,Temporada de neve,Médio,Viajante Solo
26,Foz do Iguaçu,Brasil,Sul,Outubro,Média Temporada,Ameno,Temporada de neve,Médio,Mochileiro
27,Rio de Janeiro,Brasil,Sudeste,Janeiro,Alta Temporada,Chuvoso,Melhor custo-benefício,Médio,Família
28,Bonito,Brasil,Centro-Oeste,Março,Média Temporada,Chuvoso,Melhor custo-benefício,Médio,Família
29,Cidade do Cabo,África do Sul,África,Junho,Média Temporada,Ameno,Melhor época para praias,Baixo,Grupo de Amigos
30,Salvador,Brasil,Nordeste,Setembro,Baixa Temporada,Chuvoso,Melhor custo-benefício,Alto,Família
31,Manaus,Brasil,Norte,Agosto,Média Temporada,Frio,Festival cultural importante,Alto,Viajante Solo
32,Buenos Aires,Argentina,América do Sul,Novembro,Baixa Temporada,Seco,Alta procura por férias escolares,Alto,Grupo de Amigos
33,Lençóis Maranhenses,Brasil,Nordeste,Dezembro,Alta Temporada,Ensolarado,Melhor época para praias,Médio,Casal
